Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-3.756e-03,-0.26,-0.3,0.004,-0.004
-3.754e-03,-0.26,-0.24,0.004,0.008
-3.752e-03,-0.26,-0.3,-4.76837e-10,-0.002
-3.750e-03,-0.26,-0.24,0.002,0.008
-3.748e-03,-0.26,-0.3,0.004,-0.002
-3.746e-03,-0.26,-0.24,-4.76837e-10,0.008
-3.744e-03,-0.26,-0.3,0.004,-0.004
-3.743e-03,-0.24,-0.24,0.004,0.01
-3.741e-03,-0.24,-0.3,0.002,-0.002
-3.739e-03,-0.26,-0.24,0.004,0.01
-3.737e-03,-0.26,-0.3,-4.76837e-10,-0.002
-3.735e-03,-0.26,-0.24,0.006,0.012
-3.733e-03,-0.26,-0.3,0.006,-4.76837e-10
-3.731e-03,-0.28,-0.24,0.008,0.01
-3.729e-03,-0.26,-0.3,0.008,0.002
-3.727e-03,-0.26,-0.24,0.008,0.014
-3.725e-03,-0.26,-0.3,0.008,0.002
-3.723e-03,-0.26,-0.24,0.01,0.014
-3.721e-03,-0.28,-0.3,0.01,0.002
-3.719e-03,-0.26,-0.24,0.012,0.016
-3.718e-03,-0.28,-0.32,0.01,0.006
-3.716e-03,-0.28,-0.26,0.01,0.016
-3.714e-03,-0.28,-0.3,0.01,0.008
-3.712e-03,-0.28,-0.24,0.012,0.018
-3.710e-03,-0.26,-0.3,0.016,0.008
-3.708e-03,-0.28,-0.24,0.016,0.02
-3.706e-03,-0.26,-0.3,0.016,0.01
-3.704e-03,-0.26,-0.24,0.02,0.024
-3.702e-03,-0.28,-0.32,0.022,0.014
-3.700e-03,-0.28,-0.24,0.022,0.026
-3.698e-03,-0.28,-0.3,0.026,0.018
-3.696e-03,-0.26,-0.24,0.026,0.03
-3.695e-03,-0.28,-0.32,0.03,0.022
-3.693e-03,-0.28,-0.24,0.028,0.034
-3.691e-03,-0.28,-0.32,0.034,0.028
-3.689e-03,-0.28,-0.26,0.04,0.042
-3.687e-03,-0.26,-0.32,0.044,0.032
